Project,Core Area,Repository,URL-Link,Accountable Engineering Manager,Exit Plan,Exit Date,Exit Plan State,Post 3/31 Exit Justification,ID
"Automation","Infrastructure","AAD Automation","https://dev.azure.com/geico/Automation/_git/AAD%20Automation","Loehr, Gregory","Plan to refactor into .NET Open Source","5/1/2024","Not Started","<div class=""ExternalClass5B642876B9804EB586E78BAE3E9DB1E3""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">No available resources in the team to perform the work in time for completion by 3/31</div></div>","1"
"PURE Simulation","Core Insurance Platforms","ABM Orchestration","https://dev.azure.com/geico/PURE%20Simulation/_git/ABM%20Orchestration",,,,"Not Started",,"2"
"BoatUS","Digital Engineering","AccountDataGenerator","https://dev.azure.com/geico/BoatUS/_git/AccountDataGenerator","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"3"
"Enterprise Document Services","Enablement Platforms","AccountingDateProcessor","https://dev.azure.com/geico/Enterprise%20Document%20Services/_git/AccountingDateProcessor","Dakshina, Mani","Plan to refactor into .NET Open Source","3/14/2024","In Progress",,"4"
"BoatUS","Digital Engineering","AccountUpdater","https://dev.azure.com/geico/BoatUS/_git/AccountUpdater","Owens, Brian","Plan to refactor into .NET Open Source","3/20/2024","Not Started",,"5"
"Underwriting Systems","Core Insurance Platforms","ACP-CancelledPolDB","https://dev.azure.com/geico/Underwriting%20Systems/_git/ACP-CancelledPolDB","Moturi, Mounika","Immediately Archive","2/16/2024","Completed",,"6"
"SSP","Core Insurance Platforms","ActivityLoggingDB","https://dev.azure.com/geico/SSP/_git/ActivityLoggingDB","Shrestha, Mary","Immediately Archive","3/31/2024","Not Started",,"7"
"IT Claims","Core Claims Platforms","ADCW_App","https://dev.azure.com/geico/IT%20Claims/_git/ADCW_App","Nuvvala, Srinivasa","Plan to rewrite on non .Net Open Source","12/31/2025","Not Started",,"8"
"IT Claims","Core Claims Platforms","ADCW_Service","https://dev.azure.com/geico/IT%20Claims/_git/ADCW_Service","Nuvvala, Srinivasa","Plan to rewrite on non .Net Open Source","12/31/2025","Not Started",,"9"
"BoatUS","Digital Engineering","AddressService","https://dev.azure.com/geico/BoatUS/_git/AddressService","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"10"
"ASD Architecture","Core Insurance Platforms","ADFSPlatform","https://dev.azure.com/geico/ASD%20Architecture/_git/ADFSPlatform","Johnson, Kaeri","Immediately Archive","3/29/2024","Completed",,"11"
"IT Sales","Core Insurance Platforms","AdminTool","https://dev.azure.com/geico/IT%20Sales/_git/AdminTool","Wiggins, Mark","Plan to refactor into .NET Open Source","4/30/2024","Not Started","<div class=""ExternalClassD5FBFB9B6689484899BCF6585D9DED1F""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Product is not well known and dev is still learning the codebase.</div></div>","12"
"DOISCICD","Developer Engineering","AdminTool","https://dev.azure.com/geico/DOISCICD/_git/AdminTool","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"13"
"IT Sales","Core Insurance Platforms","AdminToolProxy","https://dev.azure.com/geico/IT%20Sales/_git/AdminToolProxy","Wiggins, Mark","Plan to refactor into .NET Open Source","4/30/2024","Not Started","<div class=""ExternalClass18D83A6287D1429FA528437DDEB96AEA""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">Product is not well known and dev is still learning the codebase.</span><br></div></div>","14"
"Automation","Infrastructure","ADORepoAudit","https://dev.azure.com/geico/Automation/_git/ADORepoAudit","Gothi, Kuldip","Immediately Archive","2/6/2024","Completed",,"15"
"Cloud Automation","Infrastructure","AFAMigrationTool","https://dev.azure.com/geico/Cloud%20Automation/_git/AFAMigrationTool","Gothi, Kuldip","Immediately Archive","2/9/2024","Not Started",,"16"
"Enterprise Document Services","Enablement Platforms","AgentProcessor","https://dev.azure.com/geico/Enterprise%20Document%20Services/_git/AgentProcessor","Dakshina, Mani","Plan to refactor into .NET Open Source","2/14/2024","Completed",,"17"
"ETSArchitecture","Developer Engineering","AIML_Adapter","https://dev.azure.com/geico/ETSArchitecture/_git/AIML_Adapter","Desharaju, Krishna","Plan to Sunset","3/31/2024","Not Started",,"18"
"ETSArchitecture","Developer Engineering","AIML_API","https://dev.azure.com/geico/ETSArchitecture/_git/AIML_API","Desharaju, Krishna","Plan to Sunset","1/31/2024","Not Started",,"19"
"MEM","Site Reliability Engineering","AIOPSW","https://dev.azure.com/geico/MEM/_git/AIOPSW","Koppu, Gupta","Immediately Archive","2/12/2024","Not Started",,"20"
"MEM","Site Reliability Engineering","AIToSplunk","https://dev.azure.com/geico/MEM/_git/AIToSplunk","Koppu, Gupta","Immediately Archive","2/12/2024","Not Started",,"21"
"K027- All","Infrastructure","Alive.Orchestrator.API","https://dev.azure.com/geico/K027-%20All/_git/Alive.Orchestrator.API","Mohamed, Abdulemenan","Immediately Archive","2/12/2024","Not Started",,"22"
"K027- All","Infrastructure","Alive.Orchestrator.UI","https://dev.azure.com/geico/K027-%20All/_git/Alive.Orchestrator.UI","Mohamed, Abdulemenan","Immediately Archive","2/12/2024","Not Started",,"23"
"K027- All","Infrastructure","Alive.SignalProcessor","https://dev.azure.com/geico/K027-%20All/_git/Alive.SignalProcessor","Mohamed, Abdulemenan","Immediately Archive","2/12/2024","Not Started",,"24"
"Cloud Automation","Infrastructure","ALM.AKS.Provider","https://dev.azure.com/geico/Cloud%20Automation/_git/ALM.AKS.Provider","Joshi, Abhijit","Plan to Sunset","2/23/2024","In Progress",,"25"
"DOISCICD","Developer Engineering","ALM.Provider.CloudService","https://dev.azure.com/geico/DOISCICD/_git/ALM.Provider.CloudService","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"26"
"Cloud Automation","Infrastructure","ALM.Provider.CloudService","https://dev.azure.com/geico/Cloud%20Automation/_git/ALM.Provider.CloudService","Shah, Sanket","Plan to Sunset","3/31/2024","In Progress",,"27"
"DOISCICD","Developer Engineering","ALM.Provider.CloudService2","https://dev.azure.com/geico/DOISCICD/_git/ALM.Provider.CloudService2","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"28"
"Cloud Automation","Infrastructure","ALM.SQLProvider.UI","https://dev.azure.com/geico/Cloud%20Automation/_git/ALM.SQLProvider.UI","Gunna, Arun","Plan to refactor into .NET Open Source","2/29/2024","In Progress",,"29"
"Cloud Automation","Infrastructure","ALM.Storage.Provider","https://dev.azure.com/geico/Cloud%20Automation/_git/ALM.Storage.Provider","Chauhan, Vipul","Immediately Archive","2/6/2024","Completed",,"30"
